rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
3,3,1,OLD,20210544,웅남이,2023-03-22,80688497,7.3,-21677454,-21.2,2007818343,9454,-3853,-29,221020,609,1630,20230330
4,4,0,NEW,20080269,해피 투게더,1998-08-22,65308343,5.9,65308343,100,419541463,7147,7147,100,45648,140,281,20230330
5,5,-2,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,68736510,6.2,-76403962,-52.6,44501515511,6794,-11072,-62,4319153,521,1026,20230330
6,6,0,OLD,20226489,리바운드,2023-04-05,35865000,3.2,-6129000,-14.6,109759000,3909,-757,-16.2,12115,21,21,20230330
7,7,-2,OLD,20230641,오토라는 남자,2023-03-29,26734352,2.4,-10904617,-29,96033161,2918,-1952,-40.1,10833,339,619,20230330
8,8,-1,OLD,20197654,소울메이트,2023-03-15,23044199,2.1,-10158865,-30.6,1948455046,2732,-1240,-31.2,200598,305,468,20230330
9,9,-1,OLD,20230767,파벨만스,2023-03-22,16759830,1.5,-9737945,-36.8,482398860,1715,-1647,-49,47627,205,271,20230330
10,10,0,OLD,20227684,멍뭉이,2023-03-01,12912797,1.2,-2238503,-14.8,1658982595,1353,-289,-17.6,176529,17,22,20230330
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,659039651,43.2,122116226,22.7,32880293145,83159,30851,59,3157661,1268,4621,20230329
2,2,0,NEW,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,314748212,20.6,314748212,100,340367212,37245,37245,100,38943,1105,3600,20230329
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,145140472,9.5,73858406,103.6,44432779001,17866,10936,157.8,4312359,546,1077,20230329
4,4,-2,OLD,20210544,웅남이,2023-03-22,102365951,6.7,-10776719,-9.5,1927129846,13307,-139,-1,211566,662,1727,20230329
5,5,0,NEW,20230641,오토라는 남자,2023-03-29,37638969,2.5,37638969,100,69298809,4870,4870,100,7915,371,725,20230329
6,6,-1,OLD,20226489,리바운드,2023-04-05,41994000,2.8,10094000,31.6,73894000,4666,1126,31.8,8206,20,20,20230329
7,7,-1,OLD,20197654,소울메이트,2023-03-15,33203064,2.2,2985958,9.9,1925410847,3972,831,26.5,197866,353,552,20230329
8,8,-4,OLD,20230767,파벨만스,2023-03-22,26497775,1.7,-9319933,-26,465639030,3362,-373,-10,45912,203,281,20230329
9,9,-2,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,14732487,1.0,-5886997,-28.6,980746003,1922,-147,-7.1,95208,94,124,20230329
10,10,-2,OLD,20227684,멍뭉이,2023-03-01,15151300,1.0,-1184027,-7.2,1646069798,1642,-124,-7,175176,25,32,20230329
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,536923425,55.4,-53947997,-9.1,32221253494,52308,-5076,-8.8,3074502,1357,5006,20230328
2,2,0,OLD,20210544,웅남이,2023-03-22,113142670,11.7,-1696457,-1.5,1824763895,13446,998,8,198259,721,2339,20230328
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,71282066,7.4,-8680871,-10.9,44287638529,6930,-861,-11.1,4294493,550,1286,20230328
4,4,0,OLD,20230767,파벨만스,2023-03-22,35817708,3.7,2144854,6.4,439141255,3735,265,7.6,42550,388,639,20230328
5,5,0,NEW,20226489,리바운드,2023-04-05,31900000,3.3,31900000,100,31900000,3540,3540,100,3540,15,16,20230328
6,6,-1,OLD,20197654,소울메이트,2023-03-15,30217106,3.1,-2581363,-7.9,1892207783,3141,-242,-7.2,193894,478,879,20230328
7,7,-1,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,20619484,2.1,272505,1.3,966013516,2069,39,1.9,93286,212,343,20230328
8,8,1,OLD,20227684,멍뭉이,2023-03-01,16335327,1.7,3162727,24,1630918498,1766,394,28.7,173534,46,54,20230328
9,9,-1,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,16737900,1.7,-4009400,-19.3,6486384600,1347,-312,-18.8,526606,160,300,20230328
10,10,0,OLD,20230495,아임 히어로 더 파이널,2023-03-01,27472500,2.8,2197500,8.7,5616474500,1145,91,8.6,232380,49,120,20230328
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,590871422,58.8,-2595643171,-81.5,31684330069,57384,-251880,-81.4,3022194,1345,5073,20230327
2,2,0,OLD,20210544,웅남이,2023-03-22,114839127,11.4,-302080357,-72.5,1711621225,12448,-30077,-70.7,184813,707,2424,20230327
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,79962937,8.0,-239039457,-74.9,44216356463,7791,-22583,-74.3,4287563,565,1334,20230327
4,4,1,OLD,20230767,파벨만스,2023-03-22,33672854,3.3,-51724010,-60.6,403323547,3470,-4812,-58.1,38815,404,658,20230327
5,5,-1,OLD,20197654,소울메이트,2023-03-15,32798469,3.3,-129695689,-79.8,1861990677,3383,-12553,-78.8,190753,469,928,20230327
6,6,2,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,20346979,2.0,-35148860,-63.3,945394032,2030,-3249,-61.5,91217,218,344,20230327
